Query return: we can see 64 hospitals are tied with perfect scores

rank	score	id	state	city	name
1	1	141349	IL	SPARTA	SPARTA COMMUNITY HOSPITAL
1	1	141336	IL	HIGHLAND	ST JOSEPH'S HOSPITAL
1	1	141332	IL	HILLSBORO	HILLSBORO AREA HOSPITAL
1	1	141326	IL	MCLEANSBORO	HAMILTON MEMORIAL HOSPITAL DISTRICT
1	1	131323	ID	KETCHUM	ST LUKE'S WOOD RIVER MEDICAL CENTER
1	1	030107	AZ	MESA	ARIZONA SPINE AND JOINT HOSPITAL
1	1	131312	ID	MC CALL	ST LUKE'S MCCALL
1	1	131307	ID	WEISER	WEISER MEMORIAL HOSPITAL
1	1	130065	ID	IDAHO FALLS	MOUNTAIN VIEW HOSPITAL
1	1	111331	GA	CAMILLA	MITCHELL COUNTY HOSPITAL
1	1	111319	GA	JACKSON	SYLVAN GROVE HOSPITAL
1	1	450851	TX	DALLAS	BAYLOR HEART AND VASCULAR HOSPITAL
1	1	451347	TX	COLEMAN	COLEMAN COUNTY MEDICAL CENTER COMPANY
1	1	461302	UT	MOAB	MOAB REGIONAL HOSPITAL
1	1	471301	VT	RANDOLPH	GIFFORD MEDICAL CENTER
1	1	031303	AZ	DOUGLAS	COCHISE REGIONAL HOSPITAL
1	1	061316	CO	WALSENBURG	SPANISH PEAKS REGIONAL HEALTH CENTER
1	1	06007F	CO	GRAND JUNCTION	GRAND JUNCTION VA MEDICAL CENTER
1	1	05114F	CA	SAN DIEGO	VA SAN DIEGO HEALTHCARE SYSTEM
1	1	511321	WV	BUCKHANNON	ST JOSEPH HOSPITAL
1	1	050111	CA	LOS ANGELES	TEMPLE COMMUNITY HOSPITAL
1	1	521317	WI	CHILTON	CALUMET MEDICAL CENTER
1	1	521318	WI	OSCEOLA	LADD MEMORIAL HOSPITAL
1	1	521327	WI	WAUPUN	WAUPUN MEMORIAL HOSPITAL
1	1	041309	AR	WALNUT RIDGE	LAWRENCE MEMORIAL HOSPITAL
1	1	521347	WI	BALDWIN	BALDWIN AREA MEDICAL CENTER
1	1	521331	WI	GRANTSBURG	BURNETT MEDICAL CENTER
65	0.9988	400021	PR	SAN GERMAN	HOSPITAL DE LA CONCEPCION
66	0.9983	110200	GA	COLUMBUS	NORTHSIDE MEDICAL CENTER
67	0.998	430091	SD	RAPID CITY	BLACK HILLS SURGICAL HOSPITAL LLP
67	0.998	340049	NC	DURHAM	NORTH CAROLINA SPECIALTY HOSPITAL
67	0.998	420102	SC	GREENVILLE	GHS PATEWOOD MEMORIAL HOSPITAL
70	0.9967	381317	OR	TILLAMOOK	TILLAMOOK REGIONAL MEDICAL CENTER
70	0.9967	07003F	CT	WEST HAVEN	WEST HAVEN VA MEDICAL CENTER
70	0.9967	35002F	ND	FARGO	FARGO VA MEDICAL CENTER
70	0.9967	33015F	NY	MONTROSE	VA HUDSON VALLEY HEALTHCARE SYSTEM
74	0.996	450875	TX	AMARILLO	QUAIL CREEK SURGICAL HOSPITAL
75	0.995	150182	IN	CARMEL	FRANCISCAN ST FRANCIS HEALTH - CARMEL
75	0.995	310031	NJ	BROWNS MILLS	DEBORAH HEART AND LUNG CENTER
75	0.995	330405	NY	WEST HAVERSTRAW	HELEN HAYES HOSPITAL
75	0.995	23011F	MI	ANN ARBOR	VA ANN ARBOR HEALTHCARE SYSTEM
79	0.9943	110233	GA	NEWNAN	SOUTHEASTERN REGIONAL MEDICAL CENTER
80	0.994	150168	IN	FORT WAYNE	THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR
80	0.994	190298	LA	ALEXANDRIA	CENTRAL LOUISIANA SURGICAL HOSPITAL
80	0.994	150167	IN	FORT WAYNE	ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC
80	0.994	050769	CA	IRVINE	HOAG ORTHOPEDIC INSTITUTE
80	0.994	520205	WI	FRANKLIN	MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL
80	0.994	430092	SD	ABERDEEN	DAKOTA PLAINS SURGICAL CENTER LLP
80	0.994	520196	WI	ALTOONA	OAKLEAF SURGICAL HOSPITAL
80	0.994	400048	PR	GUAYAMA	HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC
88	0.9933	14007F	IL	HINES	HINES VA MEDICAL CENTER
88	0.9933	05127F	CA	LOMA LINDA	LOMA LINDA VA MEDICAL CENTER
88	0.9933	141319	IL	GENESEO	HAMMOND HENRY HOSPITAL
88	0.9933	33017F	NY	NEW YORK	VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.
88	0.9933	521338	WI	COLUMBUS	COLUMBUS COMMUNITY HOSPITAL
88	0.9933	150177	IN	MISHAWAKA	UNITY MEDICAL AND SURGICAL HOSPITAL
88	0.9933	39001F	PA	ALTOONA	JAMES E. VAN ZANDT VA MEDICAL CENTER - ALTOONA
88	0.9933	053309	CA	LONG BEACH	MILLER CHILDREN'S HOSPITAL
96	0.9925	440218	TN	NASHVILLE	SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY
96	0.9925	471306	VT	SPRINGFIELD	SPRINGFIELD HOSPITAL
98	0.992	340153	NC	CHARLOTTE	NOVANT HEALTH CHARLOTTE ORTHOPEDIC HOSPITAL
98	0.992	390327	PA	YORK	WELLSPAN SURGERY AND REHABILITATION HOSPITAL
98	0.992	460049	UT	MURRAY	THE ORTHOPEDIC SPECIALTY HOSPITAL
